#     HJD               V           errV
2459930.87252193      13.9103       0.0058
2459930.87459379      13.8947       0.0067
2459930.87665407      13.8799       0.0058
2459930.87871435      13.8653       0.0076
2459930.88077464      13.8496       0.0067
2459930.88283492      13.8458       0.0058
2459930.88490678      13.8206       0.0058
2459930.88696706      13.8131       0.0067
2459930.88902734      13.8008       0.0058
2459930.89108763      13.7941       0.0058
2459930.89314791      13.7929       0.0058
2459930.89521977      13.7811       0.0058
2459930.89728005      13.7548       0.0058
2459930.89934033      13.7575       0.0054
2459930.90140062      13.7423       0.0054
2459930.90347247      13.7261       0.0054
2459930.90553276      13.7346       0.0054
2459930.90759304      13.7162       0.0054
2459930.90965332      13.7053       0.0054
2459930.91172518      13.7127       0.0054
2459930.91378546      13.6988       0.0054
2459930.91584575      13.7017       0.0054
2459930.91791760      13.7027       0.0054
2459930.91997789      13.6859       0.0054
2459930.92203817      13.6878       0.0054
2459930.92431837      13.6911       0.0054
2459930.92637865      13.6969       0.0054
2459930.92843894      13.6884       0.0054
2459930.93049922      13.6923       0.0054
2459930.93257108      13.6973       0.0054
2459930.93463136      13.7077       0.0054
2459930.93670322      13.7146       0.0054
2459930.93876350      13.7151       0.0058
2459930.94082379      13.7376       0.0058
2459930.94289564      13.7348       0.0067
2459930.94495593      13.7460       0.0058
2459930.94701621      13.7570       0.0054
2459930.94908807      13.7659       0.0054
2459930.95114835      13.7726       0.0058
2459930.95320863      13.7811       0.0054
2459930.95528049      13.7838       0.0054
2459930.95734077      13.8058       0.0054
2459930.95940106      13.8182       0.0058
2459930.96147291      13.8127       0.0058
2459930.96353320      13.8339       0.0067
2459930.96560505      13.8436       0.0067
2459930.96766534      13.8477       0.0067
2459930.96972562      13.8835       0.0067
2459930.97179748      13.8858       0.0067
2459930.97385776      13.9015       0.0067
2459930.97591804      13.9137       0.0067
2459930.97798990      13.9054       0.0067
2459930.98005018      13.9027       0.0067
2459930.98211046      13.9196       0.0067
2459930.98418232      13.9006       0.0058
2459930.98624261      13.9091       0.0058
2459930.98830289      13.9055       0.0067
2459930.99037475      13.8976       0.0067
2459930.99243503      13.8918       0.0058
2459930.99449531      13.8863       0.0067
2459930.99656717      13.8748       0.0058
2459930.99862745      13.8463       0.0067
2459931.00069931      13.8361       0.0058
2459931.00275959      13.8319       0.0058
2459931.00483145      13.8247       0.0058
2459931.00689173      13.8305       0.0058
2459931.00896359      13.8021       0.0058
2459931.01102387      13.7893       0.0058
2459931.01308415      13.7760       0.0058
2459931.01515601      13.7670       0.0058
2459931.01721629      13.7559       0.0058
2459931.01928815      13.7474       0.0058
2459931.02134844      13.7347       0.0058
2459931.02340872      13.7326       0.0058
2459931.02548058      13.7200       0.0058
2459931.02754086      13.7017       0.0058
2459931.02961271      13.7046       0.0058
2459931.03167300      13.7055       0.0058
2459931.03353651      13.7095       0.0067
2459931.03559679      13.6924       0.0067
2459931.03766865      13.6823       0.0067
2459931.03972893      13.6883       0.0067
2459931.04178922      13.6751       0.0067
2459931.04592136      13.6848       0.0089
2459931.04799321      13.6929       0.0089
2459931.05005350      13.6907       0.0076
2459931.05212535      13.6890       0.0067
2459931.05418564      13.6903       0.0089
2459931.05625749      13.6918       0.0089
2459931.05832935      13.6983       0.0081
2460339.62605012      13.7414       0.0054
2460339.62830674      13.7357       0.0045
2460339.63056282      13.7247       0.0054
2460339.63281900      13.7235       0.0045
2460339.63507812      13.7034       0.0045
2460339.63733606      13.6938       0.0045
2460339.63959410      13.7053       0.0045
2460339.64185271      13.6928       0.0045
2460339.64410969      13.6889       0.0045
2460339.64637040      13.7000       0.0045
2460339.64862731      13.6800       0.0045
2460339.65088560      13.6953       0.0045
2460339.65314420      13.6979       0.0045
2460339.65540062      13.7043       0.0045
2460339.65765900      13.7094       0.0045
2460339.65991534      13.7072       0.0045
2460339.66217234      13.7174       0.0045
2460339.66442989      13.7269       0.0045
2460339.66668753      13.7345       0.0045
2460339.66894423      13.7386       0.0045
2460339.67120260      13.7562       0.0045
2460339.67346152      13.7634       0.0045
2460339.67571930      13.7648       0.0045
2460339.67797847      13.7790       0.0045
2460339.68024296      13.7924       0.0045
2460339.68249266      13.8081       0.0045
2460339.68475273      13.8240       0.0045
2460339.68700968      13.8331       0.0045
2460339.68926940      13.8511       0.0054
2460339.69152739      13.8622       0.0054
2460339.69378781      13.8820       0.0054
2460339.69604605      13.9053       0.0054
2460339.69830282      13.9024       0.0054
2460339.70056210      13.9427       0.0054
2460339.70282233      13.9416       0.0054
2460339.70508417      13.9455       0.0054
2460339.70734485      13.9619       0.0054
2460339.70960278      13.9626       0.0054
2460339.71186171      13.9689       0.0054
2460339.71412073      13.9660       0.0054
2460339.71638819      13.9555       0.0054
2460339.71863751      13.9407       0.0054
2460339.72089579      13.9145       0.0054
2460339.72315620      13.9198       0.0054
2460339.72541581      13.8982       0.0054
2460339.72767584      13.8856       0.0054
2460339.72993427      13.8609       0.0054
2460339.73219504      13.8585       0.0054
2460339.73445571      13.8393       0.0054
2460339.73671956      13.8187       0.0054
2460339.73897998      13.8085       0.0054
2460339.74123936      13.8014       0.0054
2460339.74350010      13.7977       0.0054
2460339.74576066      13.7727       0.0045
2460339.74802547      13.7729       0.0054
2460339.75028134      13.7570       0.0054
2460339.75254123      13.7523       0.0045
2460339.75480172      13.7389       0.0045
2460339.75706239      13.7335       0.0045
2460339.75932178      13.7157       0.0045
2460339.76158358      13.7155       0.0045
2460339.76384354      13.7068       0.0045
2460339.76610462      13.6969       0.0045
2460339.76836470      13.7012       0.0045
2460339.77063140      13.6929       0.0045
2460339.77288464      13.6908       0.0045
2460339.77514731      13.6878       0.0045
2460339.77740863      13.6932       0.0045
2460339.77966858      13.7007       0.0045
2460339.78193398      13.6946       0.0045
2460339.78419197      13.7065       0.0045
2460339.78645200      13.7016       0.0045
2460339.78872196      13.7154       0.0045
2460339.79097318      13.7160       0.0045
2460339.79323587      13.7228       0.0054
2460339.79549882      13.7417       0.0054
2460339.79776026      13.7541       0.0045
2460339.80003131      13.7695       0.0054
2460339.80228265      13.7774       0.0054
2460339.80454406      13.7886       0.0054
2460339.80680656      13.8020       0.0054
2460339.80906924      13.8034       0.0054
2460339.81133031      13.8214       0.0054
2460339.81359087      13.8420       0.0054
2460339.81585479      13.8534       0.0054
2460339.81811955      13.8782       0.0054
2460339.82038217      13.8869       0.0054
2460339.82264292      13.9017       0.0054
2460339.82491339      13.9120       0.0054
2460339.82716545      13.9122       0.0054
2460339.82942859      13.9224       0.0054
2460339.83169382      13.9368       0.0054
2460339.83395748      13.9443       0.0054
2460339.83622165      13.9377       0.0054
2460339.83848560      13.9367       0.0054
2460339.84074940      13.9279       0.0054
2460339.84301355      13.9291       0.0054
2460339.84527731      13.9087       0.0054
2460339.84753978      13.9054       0.0054
2460339.84980374      13.8828       0.0054
2460339.85206631      13.8763       0.0054
2460339.85432834      13.8579       0.0054
2460339.85659314      13.8278       0.0054
2460339.85885530      13.8391       0.0054
2460339.86112062      13.8158       0.0054
2460339.86338603      13.8074       0.0054
2460339.86564971      13.7864       0.0054
2460339.86792035      13.7794       0.0054
2460339.87017795      13.7668       0.0054
2460339.87244355      13.7618       0.0054
2460339.87470808      13.7447       0.0045
2460339.87697169      13.7463       0.0054
2460339.87923669      13.7311       0.0045
2460339.88150796      13.7215       0.0045
2460339.88376579      13.7085       0.0045
2460339.88603238      13.7015       0.0045
2460339.88829620      13.6987       0.0045
2460339.89056128      13.7000       0.0045
2460339.89282810      13.6904       0.0045
2460339.89509267      13.6902       0.0045
2460339.89735977      13.6909       0.0045
2460339.89962231      13.6894       0.0045
2460339.90188889      13.7009       0.0045
2460339.90415470      13.6988       0.0045
2460339.90642077      13.6938       0.0045
2460339.90868488      13.7005       0.0045
2460339.91094933      13.6985       0.0045
2460339.91321420      13.7137       0.0054
2460339.91547883      13.7217       0.0054
2460339.91774340      13.7397       0.0054
2460339.92000820      13.7511       0.0054
2460339.92227322      13.7487       0.0054
2460339.92453791      13.7627       0.0054
2460339.92680442      13.7823       0.0054
2460339.92907914      13.7877       0.0054
2460339.93133514      13.7971       0.0054
2460339.93360084      13.8074       0.0054
2460339.93586779      13.8278       0.0054
2460339.93813210      13.8348       0.0054
2460339.94039847      13.8486       0.0054
2460339.94266682      13.8706       0.0054
2460339.94493415      13.8851       0.0054
2460339.94720215      13.8994       0.0054
2460339.94946658      13.9210       0.0054
2460339.95173366      13.9373       0.0063
2460339.95400166      13.9315       0.0054
2460339.95626889      13.9631       0.0054
2460339.95853656      13.9553       0.0063
2460339.96080261      13.9647       0.0063
2460339.96307128      13.9561       0.0063
2460339.96533948      13.9564       0.0063
2460339.96760863      13.9509       0.0063
2460339.96987655      13.9268       0.0063
2460339.97214502      13.9310       0.0063
2460339.97441082      13.8950       0.0063
2460339.97667983      13.8901       0.0063
2460339.97894862      13.8744       0.0063
2460339.98121552      13.8546       0.0054
2460339.98348241      13.8390       0.0054
2460339.98574860      13.8296       0.0054
2460339.98801522      13.8211       0.0054
2460339.99028471      13.8071       0.0063
2460339.99254970      13.8053       0.0063
2460339.99481865      13.7858       0.0063
2460339.99708611      13.7838       0.0063
2460339.99935425      13.7625       0.0054
