#     HJD               I           errI
2460339.70418827      12.9830       0.0045
2460339.70644871      12.9956       0.0045
2460339.70870822      12.9965       0.0045
2460339.71096668      13.0090       0.0045
2460339.71323184      12.9968       0.0045
2460339.71548349      12.9906       0.0045
2460339.71774320      12.9774       0.0045
2460339.72000225      12.9753       0.0045
2460339.72226072      12.9565       0.0045
2460339.72452644      12.9431       0.0045
2460339.72678084      12.9326       0.0045
2460339.72903906      12.9245       0.0045
2460339.73129890      12.9115       0.0045
2460339.73356012      12.8924       0.0045
2460339.73582063      12.8787       0.0045
2460339.73808599      12.8676       0.0045
2460339.74034414      12.8501       0.0045
2460339.74260421      12.8375       0.0045
2460339.74486393      12.8420       0.0045
2460339.74712537      12.8261       0.0045
2460339.74938515      12.8200       0.0045
2460339.75164544      12.8091       0.0045
2460339.75390896      12.7998       0.0045
2460339.75616727      12.7929       0.0045
2460339.75842642      12.7841       0.0045
2460339.76068706      12.7706       0.0045
2460339.76294771      12.7738       0.0045
2460339.76520746      12.7655       0.0045
2460339.76747309      12.7561       0.0045
2460339.76972979      12.7511       0.0045
2460339.77198903      12.7607       0.0045
2460339.77425044      12.7617       0.0045
2460339.77651179      12.7506       0.0045
2460339.77877304      12.7554       0.0045
2460339.78103947      12.7639       0.0045
2460339.78329613      12.7749       0.0045
2460339.78555709      12.7686       0.0045
2460339.78782719      12.7835       0.0045
2460339.79007776      12.7840       0.0045
2460339.79233894      12.7908       0.0045
2460339.79460176      12.7974       0.0045
2460339.79686307      12.8070       0.0045
2460339.79912575      12.8188       0.0045
2460339.80138626      12.8298       0.0045
2460339.80364807      12.8366       0.0045
2460339.80590974      12.8544       0.0045
2460339.80817229      12.8575       0.0045
2460339.81043507      12.8770       0.0045
2460339.81269529      12.8842       0.0045
2460339.81495546      12.8995       0.0045
2460339.81722113      12.9046       0.0045
2460339.81948636      12.9216       0.0045
2460339.82174721      12.9317       0.0045
2460339.82400864      12.9481       0.0045
2460339.82627043      12.9590       0.0045
2460339.82853144      12.9642       0.0045
2460339.83079643      12.9698       0.0045
2460339.83306249      12.9773       0.0045
2460339.83532422      12.9767       0.0045
2460339.83758794      12.9679       0.0045
2460339.83985224      12.9691       0.0045
2460339.84211493      12.9718       0.0045
2460339.84437931      12.9547       0.0045
2460339.84664247      12.9512       0.0045
2460339.84890561      12.9499       0.0045
2460339.85116970      12.9198       0.0045
2460339.85343233      12.9221       0.0045
2460339.85569459      12.8999       0.0045
2460339.85795914      12.8833       0.0045
2460339.86022192      12.8750       0.0045
2460339.86248781      12.8654       0.0045
2460339.86475257      12.8469       0.0045
2460339.86701604      12.8468       0.0045
2460339.86928065      12.8350       0.0045
2460339.87154646      12.8162       0.0045
2460339.87381168      12.8062       0.0045
2460339.87607449      12.8007       0.0045
2460339.87833804      12.7921       0.0045
2460339.88060247      12.7850       0.0045
2460339.88286733      12.7870       0.0045
2460339.88513253      12.7777       0.0045
2460339.88739876      12.7732       0.0045
2460339.88966355      12.7675       0.0045
2460339.89192911      12.7500       0.0045
2460339.89419537      12.7548       0.0045
2460339.89645863      12.7670       0.0045
2460339.89872429      12.7533       0.0045
2460339.90099000      12.7585       0.0045
2460339.90325513      12.7635       0.0045
2460339.90553020      12.7723       0.0045
2460339.90778780      12.7689       0.0045
2460339.91005223      12.7666       0.0045
2460339.91231664      12.7754       0.0045
2460339.91458201      12.7885       0.0045
2460339.91684498      12.7979       0.0045
2460339.91911877      12.8020       0.0045
2460339.92137486      12.8122       0.0045
2460339.92363965      12.8293       0.0045
2460339.92590491      12.8242       0.0045
2460339.92817111      12.8522       0.0045
2460339.93043693      12.8471       0.0045
2460339.93270264      12.8628       0.0045
2460339.93496932      12.8762       0.0045
2460339.93724344      12.9023       0.0045
2460339.93950004      12.8970       0.0045
2460339.94176725      12.9120       0.0045
2460339.94403513      12.9221       0.0045
2460339.94630278      12.9385       0.0045
2460339.94856867      12.9381       0.0045
2460339.95083449      12.9639       0.0045
2460339.95310706      12.9813       0.0045
2460339.95537739      12.9920       0.0054
2460339.95763741      12.9959       0.0054
2460339.95990413      12.9847       0.0054
2460339.96217052      12.9994       0.0054
2460339.96443911      12.9901       0.0054
2460339.96670859      12.9954       0.0054
2460339.96897650      12.9841       0.0054
2460339.97124507      12.9528       0.0054
2460339.97351213      12.9489       0.0054
2460339.97577931      12.9360       0.0054
2460339.97804825      12.9166       0.0045
2460339.98031673      12.9061       0.0045
2460339.98258291      12.8956       0.0045
2460339.98484989      12.8946       0.0045
2460339.98711639      12.8659       0.0045
2460339.98938315      12.8744       0.0045
2460339.99164969      12.8575       0.0045
2460339.99391711      12.8385       0.0045
2460339.99618717      12.8262       0.0045
2460339.99845486      12.8305       0.0045
