#     HJD               R           errR
2459930.90302685      13.2588       0.0045
2459930.90509871      13.2490       0.0045
2459930.90715899      13.2367       0.0045
2459930.90921928      13.2415       0.0045
2459930.91129113      13.2309       0.0045
2459930.91335142      13.2243       0.0045
2459930.91541170      13.2257       0.0045
2459930.91747198      13.2171       0.0045
2459930.91954384      13.2083       0.0045
2459930.92160412      13.2167       0.0045
2459930.92388432      13.2140       0.0045
2459930.92594461      13.2084       0.0045
2459930.92800489      13.2188       0.0045
2459930.93006517      13.2220       0.0045
2459930.93213703      13.2223       0.0045
2459930.93419731      13.2281       0.0045
2459930.93626917      13.2357       0.0045
2459930.93832945      13.2430       0.0045
2459930.94038974      13.2449       0.0045
2459930.94246159      13.2612       0.0045
2459930.94452188      13.2721       0.0045
2459930.94658216      13.2787       0.0045
2459930.94865402      13.2844       0.0045
2459930.95071430      13.2820       0.0045
2459930.95277458      13.2962       0.0045
2459930.95484644      13.3060       0.0045
2459930.95690672      13.3221       0.0045
2459930.95896701      13.3251       0.0045
2459930.96103886      13.3405       0.0054
2459930.96309915      13.3483       0.0054
2459930.96517100      13.3628       0.0058
2459930.96723129      13.3727       0.0058
2459930.96929157      13.3935       0.0058
2459930.97136343      13.3916       0.0058
2459930.97342371      13.4118       0.0058
2459930.97548399      13.4165       0.0058
2459930.97755585      13.4193       0.0054
2459930.97961613      13.4212       0.0054
2459930.98167642      13.4315       0.0054
2459930.98374827      13.4233       0.0054
2459930.98580856      13.4295       0.0054
2459930.98786884      13.4287       0.0058
2459930.98994070      13.4162       0.0054
2459930.99200098      13.4100       0.0054
2459930.99406126      13.3931       0.0045
2459930.99613312      13.3886       0.0054
2459930.99819340      13.3754       0.0058
2459931.00026526      13.3605       0.0045
2459931.00232554      13.3566       0.0045
2459931.00439740      13.3357       0.0045
2459931.00645768      13.3301       0.0045
2459931.00852954      13.3182       0.0045
2459931.01058982      13.3120       0.0045
2459931.01265011      13.2978       0.0045
2459931.01472196      13.2944       0.0054
2459931.01678225      13.2785       0.0045
2459931.01884253      13.2688       0.0045
2459931.02091439      13.2632       0.0045
2459931.02297467      13.2510       0.0045
2459931.02504653      13.2462       0.0045
2459931.02710681      13.2374       0.0045
2459931.02917867      13.2259       0.0045
2459931.03123895      13.2278       0.0045
2459931.03516275      13.2200       0.0058
2459931.03722303      13.2099       0.0058
2459931.03929489      13.2062       0.0058
2459931.04135517      13.2138       0.0058
2459931.04342703      13.2079       0.0067
2459931.04548731      13.2161       0.0081
2459931.04755917      13.2088       0.0081
2459931.04961945      13.2053       0.0067
2459931.05169131      13.2105       0.0067
2459931.05375159      13.2144       0.0067
2459931.05582345      13.2112       0.0067
2459931.05788373      13.2287       0.0067
2460339.62561812      13.2859       0.0045
2460339.62786781      13.2587       0.0045
2460339.63012410      13.2507       0.0045
2460339.63238068      13.2467       0.0045
2460339.63464568      13.2344       0.0045
2460339.63689770      13.2258       0.0045
2460339.63915344      13.2281       0.0045
2460339.64141385      13.2209       0.0045
2460339.64367168      13.2212       0.0045
2460339.64593181      13.2189       0.0045
2460339.65044732      13.2126       0.0045
2460339.65270513      13.2295       0.0045
2460339.65496340      13.2260       0.0045
2460339.65722438      13.2367       0.0045
2460339.65947722      13.2336       0.0045
2460339.66173444      13.2489       0.0045
2460339.66399917      13.2524       0.0045
2460339.66624835      13.2629       0.0045
2460339.66850534      13.2648       0.0045
2460339.67076346      13.2760       0.0045
2460339.67302246      13.2827       0.0045
2460339.67528034      13.2872       0.0045
2460339.67753776      13.3053       0.0045
2460339.67979636      13.3293       0.0045
2460339.68205350      13.3285       0.0045
2460339.68431266      13.3366       0.0045
2460339.68657920      13.3505       0.0045
2460339.68882988      13.3631       0.0045
2460339.69108844      13.3752       0.0045
2460339.69334705      13.3986       0.0045
2460339.69560643      13.4094       0.0045
2460339.69787369      13.4219       0.0045
2460339.70012836      13.4441       0.0045
2460339.70238224      13.4515       0.0045
2460339.70464488      13.4630       0.0045
2460339.70690422      13.4719       0.0045
2460339.70916384      13.4720       0.0045
2460339.71142185      13.4785       0.0045
2460339.71368062      13.4828       0.0045
2460339.71593964      13.4625       0.0045
2460339.71819893      13.4626       0.0045
2460339.72046193      13.4412       0.0045
2460339.72271669      13.4259       0.0045
2460339.72497639      13.4180       0.0045
2460339.72723677      13.4094       0.0045
2460339.72949512      13.3794       0.0045
2460339.73175555      13.3667       0.0045
2460339.73401596      13.3611       0.0045
2460339.73628539      13.3528       0.0045
2460339.73854067      13.3353       0.0045
2460339.74080017      13.3280       0.0045
2460339.74306040      13.3069       0.0045
2460339.74532036      13.3025       0.0045
2460339.74758143      13.2945       0.0045
2460339.74984101      13.2836       0.0045
2460339.75210149      13.2728       0.0045
2460339.75436155      13.2627       0.0045
2460339.75662391      13.2603       0.0045
2460339.75888910      13.2398       0.0045
2460339.76114394      13.2385       0.0045
2460339.76340424      13.2318       0.0045
2460339.76566744      13.2298       0.0045
2460339.76792636      13.2208       0.0045
2460339.77018632      13.2231       0.0045
2460339.77244568      13.2245       0.0045
2460339.77470689      13.2188       0.0045
2460339.77696830      13.2070       0.0045
2460339.77923407      13.2224       0.0045
2460339.78149112      13.2259       0.0045
2460339.78375245      13.2302       0.0045
2460339.78601341      13.2300       0.0045
2460339.78827328      13.2429       0.0045
2460339.79053389      13.2503       0.0045
2460339.79279719      13.2546       0.0045
2460339.79505920      13.2619       0.0045
2460339.79731973      13.2721       0.0045
2460339.79958182      13.2827       0.0045
2460339.80184266      13.2918       0.0045
2460339.80410447      13.3111       0.0045
2460339.80636648      13.3267       0.0045
2460339.80862963      13.3367       0.0045
2460339.81089170      13.3584       0.0045
2460339.81315992      13.3544       0.0045
2460339.81541332      13.3560       0.0045
2460339.81767823      13.3898       0.0045
2460339.81994266      13.3959       0.0045
2460339.82220364      13.4063       0.0045
2460339.82446587      13.4122       0.0045
2460339.82672857      13.4421       0.0045
2460339.82898899      13.4491       0.0045
2460339.83125353      13.4539       0.0045
2460339.83351670      13.4558       0.0045
2460339.83578089      13.4651       0.0045
2460339.83804538      13.4575       0.0045
2460339.84030956      13.4483       0.0045
2460339.84257201      13.4389       0.0045
2460339.84483688      13.4341       0.0045
2460339.84709993      13.4258       0.0045
2460339.84936295      13.4063       0.0045
2460339.85162668      13.4016       0.0045
2460339.85388872      13.3835       0.0045
2460339.85615170      13.3684       0.0045
2460339.85841578      13.3534       0.0045
2460339.86067951      13.3439       0.0045
2460339.86294468      13.3290       0.0045
2460339.86520951      13.3228       0.0045
2460339.86747348      13.3146       0.0045
2460339.86973776      13.2956       0.0045
2460339.87200402      13.2810       0.0045
2460339.87426719      13.2695       0.0045
2460339.87653160      13.2682       0.0045
2460339.87879603      13.2545       0.0045
2460339.88105957      13.2476       0.0045
2460339.88332468      13.2369       0.0045
2460339.88559033      13.2386       0.0045
2460339.88785575      13.2230       0.0045
2460339.89012051      13.2231       0.0045
2460339.89238736      13.2248       0.0045
2460339.89465235      13.2169       0.0045
2460339.89691575      13.2232       0.0045
2460339.89918153      13.2223       0.0045
2460339.90145055      13.2298       0.0045
2460339.90371404      13.2233       0.0045
2460339.90597875      13.2241       0.0045
2460339.90824434      13.2298       0.0045
2460339.91051628      13.2436       0.0045
2460339.91277398      13.2487       0.0045
2460339.91503921      13.2532       0.0045
2460339.91730241      13.2659       0.0045
2460339.91956687      13.2695       0.0045
2460339.92183198      13.2834       0.0045
2460339.92409712      13.2821       0.0045
2460339.92636361      13.2834       0.0045
2460339.92862797      13.3048       0.0045
2460339.93089461      13.3361       0.0045
2460339.93316228      13.3304       0.0045
2460339.93542700      13.3444       0.0045
2460339.93769244      13.3560       0.0045
2460339.93995816      13.3757       0.0045
2460339.94222504      13.3872       0.0045
2460339.94449259      13.3995       0.0045
2460339.94676057      13.4187       0.0045
2460339.94902613      13.4272       0.0045
2460339.95129227      13.4342       0.0045
2460339.95355929      13.4568       0.0054
2460339.95582767      13.4621       0.0054
2460339.95809557      13.4797       0.0054
2460339.96036149      13.4702       0.0054
2460339.96262981      13.4683       0.0054
2460339.96489894      13.4655       0.0054
2460339.96716719      13.4668       0.0054
2460339.96943418      13.4472       0.0054
2460339.97170263      13.4448       0.0054
2460339.97396993      13.4193       0.0054
2460339.97624497      13.4129       0.0054
2460339.97851505      13.3955       0.0054
2460339.98077648      13.3657       0.0054
2460339.98304094      13.3523       0.0045
2460339.98530791      13.3574       0.0054
2460339.98757386      13.3400       0.0054
2460339.98984093      13.3273       0.0045
2460339.99210826      13.3258       0.0054
2460339.99437629      13.2992       0.0045
2460339.99664521      13.3125       0.0054
2460339.99891221      13.2917       0.0054
