# SPM 84 cm telescope.
# Observers: Raul Michel + Ramon Caballero 2024
# Data reduction: Raul Michel
#    Image             Filter          ExpTime       HJD           AMass    1 (J113130.67+475420.8)  2        3   ...     errs 
201801220540o.fit        V             15.000  2458140.98134841    1.047  15.7202  15.2196  15.0864  15.3116  17.2114  19.4335  18.8890   0.0030   0.0030   0.0030   0.0030   0.0070   0.0290   0.0200
201801220541o.fit        B             30.000  2458140.98191452    1.047  16.3574  15.7728  15.5392  15.7393  17.6564  20.3282  20.1180   0.0030   0.0020   0.0020   0.0020   0.0060   0.0330   0.0280
201801220542o.fit        I             10.000  2458140.98255876    1.048  15.1327  14.8126  14.8053  15.0466  16.9566  18.5130  16.3592   0.0030   0.0030   0.0030   0.0030   0.0090   0.0260   0.0060
201801220543o.fit        R             10.000  2458140.98298030    1.048  15.1714  14.7555  14.6644  14.9196  16.8192  18.8588  17.7998   0.0030   0.0030   0.0030   0.0030   0.0080   0.0270   0.0130
201801220544o.fit        V             15.000  2458140.98338472    1.048  15.7125  15.2164  15.0866  15.3066  17.2116  19.4222  18.8453   0.0030   0.0030   0.0030   0.0030   0.0070   0.0290   0.0190
201801220545o.fit        B             30.000  2458140.98395198    1.048  16.3217  15.7259  15.4856  15.6945  17.6054  20.2369  20.0213   0.0030   0.0020   0.0020   0.0020   0.0060   0.0300   0.0260
201801220546o.fit        I             10.000  2458140.98459680    1.049  15.0618  14.7348  14.7283  14.9712  16.8514  18.5449  16.2765   0.0030   0.0030   0.0030   0.0030   0.0080   0.0260   0.0060
201801220547o.fit        R             10.000  2458140.98501927    1.049  15.1535  14.7311  14.6410  14.8945  16.8181  18.8322  17.7548   0.0030   0.0030   0.0030   0.0030   0.0080   0.0260   0.0130
201801220548o.fit        V             15.000  2458140.98542438    1.049  15.6634  15.1445  15.0197  15.2359  17.1472  19.3558  18.7865   0.0030   0.0030   0.0020   0.0030   0.0070   0.0270   0.0180
201801220549o.fit        B             30.000  2458140.98599048    1.049  16.2459  15.6432  15.4045  15.6115  17.5179  20.2166  19.9657   0.0030   0.0020   0.0020   0.0020   0.0060   0.0300   0.0250
201801220550o.fit        I             10.000  2458140.98663484    1.050  14.9970  14.6738  14.6601  14.8965  16.8065  18.4379  16.2094   0.0030   0.0030   0.0030   0.0030   0.0080   0.0240   0.0060
201801220551o.fit        R             10.000  2458140.98706066    1.050  15.0641  14.6364  14.5433  14.7983  16.7145  18.7111  17.6369   0.0030   0.0030   0.0020   0.0030   0.0070   0.0240   0.0120
201801220552o.fit        V             15.000  2458140.98746172    1.050  15.5748  15.0596  14.9354  15.1540  17.0485  19.2659  18.7144   0.0030   0.0030   0.0020   0.0030   0.0070   0.0250   0.0170
201801220553o.fit        B             30.000  2458140.98802818    1.050  16.2100  15.5913  15.3595  15.5699  17.4804  20.1504  19.9378   0.0030   0.0020   0.0020   0.0020   0.0060   0.0280   0.0240
201801220554o.fit        I             10.000  2458140.98867288    1.051  15.0145  14.6899  14.6821  14.9211  16.8160  18.4673  16.2478   0.0030   0.0030   0.0030   0.0030   0.0080   0.0250   0.0060
201801220555o.fit        R             10.000  2458140.98910310    1.051  15.0841  14.6510  14.5635  14.8186  16.7177  18.6989  17.6799   0.0030   0.0030   0.0020   0.0030   0.0070   0.0240   0.0120
201801220556o.fit        V             15.000  2458140.98949964    1.051  15.5603  15.0424  14.9161  15.1330  17.0322  19.2518  18.6576   0.0030   0.0020   0.0020   0.0030   0.0070   0.0250   0.0170
201801220557o.fit        B             30.000  2458140.99006564    1.051  16.1547  15.5359  15.3058  15.5071  17.4184  20.0501  19.8433   0.0030   0.0020   0.0020   0.0020   0.0050   0.0260   0.0230
201801220558o.fit        I             10.000  2458140.99070987    1.052  14.9210  14.5831  14.5737  14.8135  16.7148  18.3447  16.1380   0.0030   0.0020   0.0020   0.0030   0.0080   0.0230   0.0060
201801220559o.fit        R             10.000  2458140.99113443    1.052  14.9918  14.5508  14.4638  14.7166  16.6338  18.6402  17.5749   0.0030   0.0020   0.0020   0.0030   0.0070   0.0230   0.0110
201801220560o.fit        V             15.000  2458140.99153583    1.052  15.5019  14.9733  14.8503  15.0678  16.9804  19.2046  18.6023   0.0030   0.0020   0.0020   0.0030   0.0060   0.0240   0.0160
201801220561o.fit        B             30.000  2458140.99210229    1.053  16.1197  15.5030  15.2684  15.4708  17.3839  20.0582  19.7926   0.0030   0.0020   0.0020   0.0020   0.0050   0.0260   0.0220
201801220562o.fit        I             10.000  2458140.99274652    1.053  14.8947  14.5551  14.5486  14.7848  16.7041  18.3221  16.1044   0.0030   0.0020   0.0020   0.0030   0.0080   0.0220   0.0050
201801220563o.fit        R             10.000  2458140.99316784    1.053  14.9770  14.5383  14.4484  14.6992  16.6093  18.6021  17.5690   0.0030   0.0020   0.0020   0.0030   0.0070   0.0220   0.0110
201801220564o.fit        V             15.000  2458140.99357271    1.054  15.5081  14.9709  14.8489  15.0681  16.9630  19.1531  18.6137   0.0030   0.0020   0.0020   0.0030   0.0060   0.0230   0.0160
201801220565o.fit        B             30.000  2458140.99413894    1.054  16.1296  15.4980  15.2653  15.4725  17.3777  20.0030  19.7869   0.0030   0.0020   0.0020   0.0020   0.0050   0.0250   0.0210
201801220566o.fit        I             10.000  2458140.99478352    1.054  14.9010  14.5574  14.5490  14.7887  16.6908  18.3414  16.1147   0.0030   0.0020   0.0020   0.0030   0.0080   0.0230   0.0050
201801220567o.fit        R             10.000  2458140.99520483    1.055  14.9873  14.5382  14.4512  14.7035  16.6124  18.5835  17.5573   0.0030   0.0020   0.0020   0.0030   0.0070   0.0220   0.0110
201801220568o.fit        V             15.000  2458140.99560936    1.055  15.5109  14.9726  14.8545  15.0657  16.9627  19.1847  18.5994   0.0030   0.0020   0.0020   0.0030   0.0060   0.0240   0.0160
201801220569o.fit        B             30.000  2458140.99617663    1.055  16.1283  15.4977  15.2689  15.4727  17.3815  20.0042  19.8225   0.0030   0.0020   0.0020   0.0020   0.0050   0.0250   0.0220
201801220570o.fit        I             10.000  2458140.99682075    1.056  14.9074  14.5585  14.5489  14.7856  16.6813  18.3164  16.0941   0.0030   0.0020   0.0020   0.0030   0.0070   0.0230   0.0050
201801220571o.fit        R             10.000  2458140.99724669    1.056  14.9908  14.5469  14.4501  14.7125  16.6207  18.5922  17.5474   0.0030   0.0020   0.0020   0.0030   0.0070   0.0220   0.0110
201801220572o.fit        V             15.000  2458140.99764729    1.057  15.5087  14.9728  14.8482  15.0645  16.9759  19.1844  18.6198   0.0030   0.0020   0.0020   0.0030   0.0060   0.0240   0.0160
201801220573o.fit        B             30.000  2458140.99821351    1.057  16.1290  15.4996  15.2645  15.4768  17.3794  20.0241  19.8460   0.0030   0.0020   0.0020   0.0020   0.0050   0.0250   0.0230
201801220574o.fit        I             10.000  2458140.99885786    1.058  14.9160  14.5632  14.5524  14.7940  16.6862  18.3599  16.1105   0.0030   0.0020   0.0020   0.0030   0.0080   0.0230   0.0050
201801220575o.fit        R             10.000  2458140.99928681    1.058  14.9932  14.5505  14.4594  14.7185  16.6413  18.6293  17.5863   0.0030   0.0020   0.0020   0.0030   0.0070   0.0230   0.0120
201801220576o.fit        V             15.000  2458140.99968544    1.058  15.5141  14.9784  14.8523  15.0737  16.9680  19.2088  18.6174   0.0030   0.0020   0.0020   0.0030   0.0060   0.0240   0.0160
201801220577o.fit        B             30.000  2458141.00025838    1.059  16.1394  15.5115  15.2740  15.4823  17.3892  20.0690  19.8378   0.0030   0.0020   0.0020   0.0020   0.0050   0.0260   0.0220
201801220578o.fit        I             10.000  2458141.00089810    1.059  14.9201  14.5736  14.5608  14.7959  16.7006  18.3211  16.1264   0.0030   0.0020   0.0020   0.0030   0.0080   0.0230   0.0050
201801220579o.fit        R             10.000  2458141.00131953    1.060  14.9983  14.5567  14.4644  14.7285  16.6307  18.6145  17.5716   0.0030   0.0020   0.0020   0.0030   0.0070   0.0220   0.0110
