#     HJD               B        errB
2459709.85105806      15.2635       0.0061
2459709.85311824      15.3464       0.0071
2459709.85518999      15.3463       0.0071
2459709.85725017      15.3554       0.0071
2459709.85931035      15.3447       0.0071
2459709.86137052      15.3570       0.0071
2459709.86344228      15.3633       0.0071
2459709.86550245      15.3545       0.0071
2459709.86756263      15.3573       0.0071
2459709.86962281      15.3618       0.0071
2459709.87169456      15.3506       0.0071
2459709.87375473      15.3503       0.0071
2459709.87581491      15.3460       0.0071
2459709.87788666      15.3277       0.0061
2459709.87994684      15.3101       0.0061
2459712.66016434      15.0585       0.0082
2459712.66222452      15.0638       0.0082
2459712.66427311      15.0593       0.0092
2459712.66633329      15.0597       0.0073
2459712.66838189      15.0478       0.0073
2459712.67044206      15.0612       0.0073
2459712.67249066      15.0509       0.0073
2459712.67455083      15.0594       0.0073
2459712.67659943      15.0555       0.0073
2459712.67865960      15.0770       0.0073
2459712.68070820      15.0862       0.0073
2459712.68481697      15.0661       0.0073
2459712.68794195      15.0905       0.0073
2459712.69000212      15.1097       0.0073
2459712.69205072      15.1198       0.0073
2459712.69530302      15.1164       0.0073
2459712.69736319      15.1342       0.0073
2459712.69938864      15.1493       0.0073
2459712.70144881      15.1517       0.0073
2459712.70462009      15.1793       0.0082
2459712.70666869      15.1960       0.0082
2459712.70872886      15.2139       0.0082
2459712.71078903      15.2579       0.0082
2459712.71283763      15.2725       0.0082
2459712.71489780      15.2940       0.0082
2459712.71695798      15.3009       0.0082
2459712.71901815      15.2949       0.0092
2459712.72106675      15.3060       0.0082
2459712.72312692      15.3006       0.0082
2459712.72518709      15.3048       0.0082
2459712.72929586      15.3176       0.0082
2459712.73135604      15.3066       0.0082
2459712.73341621      15.3064       0.0092
2459712.73546481      15.3153       0.0082
2459712.73752498      15.3048       0.0082
2459712.73958515      15.3043       0.0082
2459712.74370550      15.2871       0.0082
2459712.74576567      15.2985       0.0082
2459712.74782584      15.2826       0.0073
2459712.74988601      15.2623       0.0073
2459712.75194619      15.2310       0.0073
2459712.75399479      15.2120       0.0073
2459712.75661051      15.1879       0.0073
2459712.75867068      15.1698       0.0082
2459712.76073085      15.1475       0.0073
2459712.76279103      15.1449       0.0073
2459712.76483962      15.1140       0.0073
2459712.76689980      15.1038       0.0073
2459712.76895997      15.1121       0.0073
2459712.77102014      15.1081       0.0082
2459712.77308032      15.0878       0.0082
2459712.77514049      15.0851       0.0073
2459712.78676079      15.0408       0.0063
2459712.78882096      15.0377       0.0063
2459712.79088113      15.0335       0.0063
2459712.79294130      15.0428       0.0063
2459712.79500148      15.0409       0.0063
2459712.79706165      15.0335       0.0063
2459712.79912182      15.0435       0.0063
2459712.80118199      15.0436       0.0063
2459712.80324217      15.0454       0.0063
2459712.80530234      15.0437       0.0063
2459712.80736251      15.0603       0.0063
2459712.80942268      15.0641       0.0063
2459712.81148285      15.0844       0.0063
2459712.81354303      15.0788       0.0063
2459712.81560320      15.0830       0.0063
2459712.81766337      15.1010       0.0063
2459712.83024431      15.2007       0.0073
2459712.83229291      15.2217       0.0071
2459712.83435308      15.2493       0.0073
2459712.83640168      15.2636       0.0073
2459712.83845028      15.2904       0.0073
2459712.84051045      15.3216       0.0073
2459712.84255905      15.3278       0.0073
2459712.84460765      15.3494       0.0073
2459712.84666782      15.3462       0.0073
2459712.84871642      15.3466       0.0073
2459712.85077659      15.3637       0.0073
2459712.85282519      15.3509       0.0071
2459712.85487379      15.3558       0.0071
2459712.85693396      15.3633       0.0071
2459712.85898256      15.3574       0.0073
2459712.86104273      15.3663       0.0073
2459712.86309133      15.3473       0.0073
2459712.86515150      15.3575       0.0073
2459712.86720010      15.3477       0.0073
2459712.86926027      15.3288       0.0073
2459712.87130887      15.3256       0.0073
2459712.87336904      15.2973       0.0073
2459712.87541764      15.2706       0.0073
2459712.87747781      15.2362       0.0073
2459712.87952641      15.2279       0.0073
2459712.88158658      15.2092       0.0073
2459712.88363518      15.1892       0.0073
2459712.88569535      15.1612       0.0073
2459712.88775552      15.1458       0.0063
2459712.88980412      15.1390       0.0063
2459712.89186430      15.1223       0.0063
2459712.89391289      15.1091       0.0063
2459712.89597307      15.0968       0.0063
2459712.89802166      15.0947       0.0063
2459712.90008184      15.0775       0.0073
2459712.90213043      15.0832       0.0073
2459712.90419061      15.0721       0.0063
2459712.90623920      15.0651       0.0063
2459712.90829938      15.0508       0.0063
2459712.91090353      15.0458       0.0063
2459712.91296370      15.0481       0.0063
2459712.91501230      15.0508       0.0063
2459712.91707247      15.0483       0.0063
2459712.91912107      15.0500       0.0063
2459712.92118124      15.0518       0.0063
2459712.92324141      15.0565       0.0063
2459712.92529001      15.0626       0.0063
2459712.92735018      15.0527       0.0063
2459712.92941035      15.0664       0.0063
2459712.93145895      15.0765       0.0063
2459712.93351912      15.0791       0.0063
2459712.93557930      15.0107       0.0063
2459712.93762790      15.0857       0.0063
2459712.93968807      15.1119       0.0073
2459712.94174824      15.1058       0.0063
2459712.94380841      15.1139       0.0073
2459712.94585701      15.1292       0.0073
2459712.94791718      15.1442       0.0082
2459712.94997735      15.1462       0.0102
2459712.95202595      15.1578       0.0082
2459712.95408613      15.1773       0.0082
2459712.95614630      15.2101       0.0194
2459712.95820647      15.2258       0.0092
2459712.96025507      15.2439       0.0073
2459712.96231524      15.2611       0.0082
2459712.96437541      15.2861       0.0092
2459712.96643558      15.2900       0.0082
2459712.96849576      15.3013       0.0073
2459712.97055593      15.2852       0.0092
2459712.97261610      15.2921       0.0063
2459712.97466470      15.2967       0.0063
