#     HJD               R         errR
2459712.70363051      14.4529       0.0082
2459712.70569069      14.4864       0.0082
2459712.70775086      14.4955       0.0082
2459712.70979946      14.5122       0.0082
2459712.71185963      14.5590       0.0092
2459712.71391980      14.5665       0.0082
2459712.71597997      14.5843       0.0082
2459712.71802857      14.5879       0.0082
2459712.72008874      14.5754       0.0082
2459712.72213734      14.5893       0.0082
2459712.72419752      14.5842       0.0082
2459712.72625769      14.5848       0.0092
2459712.72831786      14.5757       0.0082
2459712.73037803      14.5894       0.0102
2459712.73242663      14.5868       0.0082
2459712.73448680      14.5898       0.0082
2459712.73654698      14.5807       0.0082
2459712.73859557      14.5810       0.0082
2459712.74065575      14.5710       0.0102
2459712.74271592      14.5777       0.0082
2459712.74477609      14.5782       0.0082
2459712.74683626      14.5635       0.0082
2459712.74889644      14.5570       0.0082
2459712.75095661      14.5345       0.0082
2459712.75301678      14.5162       0.0082
2459712.75768110      14.4663       0.0082
2459712.75974128      14.4543       0.0082
2459712.76180145      14.4289       0.0082
2459712.76386162      14.4227       0.0092
2459712.76592179      14.3997       0.0073
2459712.76798197      14.4002       0.0082
2459712.77003057      14.3922       0.0082
2459712.77209074      14.3791       0.0102
2459712.77415091      14.3662       0.0092
2459712.77621108      14.3707       0.0082
2459712.78783138      14.3298       0.0073
2459712.78989155      14.3250       0.0073
2459712.79195173      14.3297       0.0073
2459712.79401190      14.3232       0.0073
2459712.79607207      14.3266       0.0082
2459712.79813224      14.3239       0.0073
2459712.80019242      14.3339       0.0073
2459712.80225259      14.3336       0.0073
2459712.80432433      14.3361       0.0073
2459712.80638451      14.3324       0.0073
2459712.80844468      14.3448       0.0073
2459712.81050485      14.3574       0.0073
2459712.81256502      14.3700       0.0073
2459712.81462520      14.3655       0.0073
2459712.81668537      14.3764       0.0073
2459712.81874554      14.3870       0.0073
2459712.82926631      14.4779       0.0073
2459712.83131491      14.4817       0.0073
2459712.83337508      14.5156       0.0073
2459712.83542368      14.5217       0.0073
2459712.83747228      14.5680       0.0082
2459712.83952087      14.5727       0.0082
2459712.84158105      14.5955       0.0082
2459712.84362964      14.6109       0.0082
2459712.84567824      14.6108       0.0082
2459712.84773841      14.6041       0.0082
2459712.84978701      14.6237       0.0082
2459712.85184719      14.6198       0.0082
2459712.85389578      14.6145       0.0082
2459712.85594438      14.6138       0.0082
2459712.85800455      14.6110       0.0082
2459712.86005315      14.6255       0.0082
2459712.86211332      14.6171       0.0082
2459712.86416192      14.6116       0.0082
2459712.86622210      14.6083       0.0082
2459712.86827069      14.6172       0.0082
2459712.87033087      14.6013       0.0082
2459712.87237946      14.5945       0.0082
2459712.87443964      14.5720       0.0082
2459712.87648823      14.5333       0.0073
2459712.87854841      14.5113       0.0073
2459712.88059701      14.4904       0.0082
2459712.88265718      14.4799       0.0073
2459712.88471735      14.4561       0.0073
2459712.88676595      14.4330       0.0073
2459712.88882612      14.4260       0.0073
2459712.89087472      14.4054       0.0073
2459712.89293489      14.3990       0.0073
2459712.89498349      14.3834       0.0073
2459712.89704366      14.3653       0.0073
2459712.89909226      14.3687       0.0082
2459712.90115243      14.3585       0.0073
2459712.90320103      14.3576       0.0073
2459712.90526120      14.3519       0.0073
2459712.90730980      14.3542       0.0073
2459712.91197412      14.3321       0.0073
2459712.91403429      14.3323       0.0073
2459712.91608289      14.3299       0.0073
2459712.91814306      14.3247       0.0073
2459712.92019166      14.3441       0.0073
2459712.92225183      14.3332       0.0073
2459712.92431201      14.3430       0.0073
2459712.92637218      14.3290       0.0073
2459712.92842078      14.3441       0.0073
2459712.93048095      14.3378       0.0073
2459712.93254112      14.3520       0.0073
2459712.93458972      14.3656       0.0073
2459712.93664989      14.3705       0.0073
2459712.93869849      14.3810       0.0082
2459712.94075866      14.3929       0.0082
2459712.94281884      14.4021       0.0082
2459712.94487901      14.4011       0.0092
2459712.94693918      14.4033       0.0082
2459712.94898778      14.4235       0.0122
2459712.95104795      14.4396       0.0214
2459712.95310812      14.4566       0.0092
2459712.95515672      14.4846       0.0153
2459712.95721689      14.4929       0.0163
2459712.95927706      14.5132       0.0092
2459712.96133724      14.5403       0.0092
2459712.96339741      14.5414       0.0092
2459712.96545758      14.5636       0.0092
2459712.96750618      14.5669       0.0092
2459712.96956635      14.5693       0.0092
2459712.97162652      14.5757       0.0092
2459712.97368669      14.5859       0.0073
2459712.97574687      14.5885       0.0082
