#     HJD               I         errI
2459712.94035357      14.0827       0.0082
2459712.94241374      14.0879       0.0082
2459712.94447392      14.0942       0.0082
2459712.94653409      14.0978       0.0082
2459712.94858269      14.1130       0.0102
2459712.95064286      14.1448       0.0153
2459712.95270303      14.1579       0.0102
2459712.95475163      14.1509       0.0122
2459712.95681180      14.1614       0.0143
2459712.95887197      14.2044       0.0082
2459712.96093215      14.2290       0.0082
2459712.96299232      14.2477       0.0082
2459712.96504092      14.2700       0.0102
2459712.96710109      14.2656       0.0092
2459712.96916126      14.2786       0.0082
2459712.97122143      14.2739       0.0092
2459712.97328160      14.2723       0.0073
2459712.97533020      14.2779       0.0073
