,time,mag,mag_err
0,1955.8253173828125,14.388725561527012,0.007885452981118792
1,1955.8461303710938,14.258726286477609,0.007046084530172488
2,1955.8670043945312,14.228603517866626,0.006873901412369568
3,1955.8878173828125,14.308843788335851,0.0073766737843003844
4,1955.9086303710938,14.433361107160762,0.008194057057678289
5,1955.9295043945312,14.465620428462552,0.008415632022537364
6,1955.9503173828125,14.39048564951005,0.007896856430955767
7,1955.9711303710938,14.268328174320057,0.007106954217454368
8,1955.9920043945312,14.228489953047013,0.006863707308881231
9,1956.0128173828125,14.298369874069452,0.007293516491008434
10,1956.0336303710938,14.447447071054372,0.008307167421994012
11,1956.0545043945312,14.473722198832148,0.00850976141444715
12,1956.0753173828125,14.384912984784203,0.007927414351624699
13,1956.0961303710938,14.255294468373181,0.007031513269344805
14,1956.1170043945312,14.226541645215216,0.006867432096208521
15,1956.1378173828125,14.291337968814485,0.007242284946463522
16,1956.1586303710938,14.460862682880023,0.008401841897150807
17,1956.1795043945312,14.475345996554966,0.008502047863488479
18,1956.2003173828125,14.38253510301685,0.00784273789887036
19,1956.2211303710938,14.269786894300067,0.007126909527675113
20,1956.2420043945312,14.248513000196033,0.006987834357793756
21,1956.2628173828125,14.29885501965447,0.007301822494456377
22,1956.2836303710938,14.4551779912485,0.008380233465380298
23,1956.3045043945312,14.50870674628705,0.008830405835943843
24,1956.3253173828125,14.375633947196354,0.007916261670596976
25,1956.3461303710938,14.261460338804952,0.007240168333468413
26,1956.3670043945312,14.22237615090636,0.007072023362762115
27,1956.3878173828125,14.302794763992049,0.007624334462084054
28,1956.4086303710938,14.422042862571297,0.00852747643057931
29,1956.4295043945312,14.46742576586144,0.008960381702013789
30,1956.4503173828125,14.36210715359586,0.008258464760042357
31,1956.4711303710938,14.254140336072469,0.007581920405459386
32,1956.4920043945312,14.227955466800987,0.007516621684914648
33,1956.5128173828125,14.28061662463855,0.00787710519077373
34,1956.5336303710938,14.444902131900433,0.009173546423861102
35,1956.5545043945312,14.476269821647199,0.009522758937741835
36,1956.5753173828125,14.343002066750431,0.008513036461561072
37,1956.5961303710938,14.24215346727752,0.007861145446302183
38,1956.6170043945312,14.225335403180141,0.007788193223760334
39,1956.6378173828125,14.29008427187695,0.008293882813391077
40,1956.6586303710938,14.4312086401286,0.009470212368364391
41,1956.6795043945312,14.457736505930757,0.00970188693914429
42,1956.7003173828125,14.35985042175844,0.00897292836125355
43,1956.7211303710938,14.260979847184435,0.008285678681490306
44,1956.7420043945312,14.23388319670799,0.00814885732875633
45,1956.7628173828125,14.296707654526548,0.008665870269018558
46,1956.7836303710938,14.432162216135103,0.009847568395331715
47,1957.3670043945312,14.215971520164837,0.00808527261193635
48,1957.3878784179688,14.316486425789558,0.008796282062834618
49,1957.40869140625,14.444243539601462,0.009818138901322443
50,1957.4295043945312,14.48195930750076,0.010132471430639823
51,1957.4503784179688,14.342199018245113,0.008918037739587737
52,1957.47119140625,14.231408979727869,0.008097404568532442
53,1957.4920043945312,14.22747272255909,0.008058300833305884
54,1957.5128784179688,14.30881540029575,0.008648426219860533
55,1957.53369140625,14.452857620013434,0.009816861124773722
56,1957.5545043945312,14.479117384014701,0.010072751913695091
57,1957.5753784179688,14.331850873867388,0.008846405578457924
58,1957.59619140625,14.227403101274632,0.008105023269447774
59,1957.6170043945312,14.225262879839232,0.00807992557440632
60,1957.6378784179688,14.300043063983946,0.008644662457946988
61,1957.65869140625,14.456550386246906,0.009930057187619459
62,1957.6795043945312,14.467657452336795,0.010023000358947048
63,1957.7003784179688,14.341190265370983,0.0089506176053037
64,1957.72119140625,14.22889513571127,0.008099307771691548
65,1957.7420043945312,14.231662625265853,0.008131661686619806
66,1957.7628784179688,14.332498791626756,0.00889248208824177
67,1957.78369140625,14.480147173312492,0.01011087431115187
68,1957.8045043945312,14.449602395142467,0.009849944904499485
69,1957.8253784179688,14.299424443497465,0.008627135552911655
70,1957.84619140625,14.24051590711035,0.008215722788653197
71,1957.8670043945312,14.226554287365596,0.008132535606759386
72,1957.8878784179688,14.298684557371354,0.00866720870770917
73,1957.90869140625,14.466024164987955,0.010048336918633086
74,1957.9295043945312,14.47608330570777,0.010175113743861468
75,1957.9503784179688,14.323577121763906,0.008864544994459163
76,1957.97119140625,14.250769260376918,0.008316100012887599
77,1957.9920043945312,14.245597773080332,0.008275601053625924
78,1958.0128784179688,14.29340044728256,0.008607348163860093
79,1958.03369140625,14.430943186732955,0.009687969402066557
80,1958.0545043945312,14.476645988571564,0.01005884586067821
81,1958.0753784179688,14.302913280190749,0.008615263349758632
82,1958.09619140625,14.22851044100308,0.00805346668698829
83,1958.1170043945312,14.244802972098688,0.008145078517793128
84,1958.1378784179688,14.331773586985006,0.008782840375160878
85,1958.15869140625,14.466118335762289,0.009843951732147057
86,1958.1795043945312,14.479527171468003,0.009945282866727459
87,1958.2003784179688,14.340133552418557,0.008790161188085838
88,1958.22119140625,14.238686820501233,0.008033630008030547
89,1958.2420043945312,14.232756500500622,0.00799313084664649
90,1958.2628784179688,14.322657102507781,0.008642679772641385
91,1958.28369140625,14.473428116559283,0.00984692965082994
92,1958.3045043945312,14.45530640220836,0.00967020652706759
93,1958.3253784179688,14.321125957056367,0.008577649534105924
94,1958.34619140625,14.229263072702066,0.007891062233425346
95,1958.3670043945312,14.230953649178508,0.00787040936898331
96,1958.3878784179688,14.334428797375155,0.008572398218020182
97,1958.40869140625,14.460933200619257,0.009522756762664338
98,1958.4295043945312,14.45815410092357,0.009483663336732534
99,1958.4503784179688,14.336279875884152,0.008495635746834032
