wavelength,flux,flux_error
6220.0,3.8978994e-17,8.278823e-19
6240.0,3.9125765e-17,8.0885096e-19
6260.0,3.9235866e-17,7.899116e-19
6280.0,3.9369367e-17,7.732847e-19
6300.0,3.9501004e-17,7.5937005e-19
6320.0,3.95152e-17,7.468178e-19
6340.0,3.951612e-17,7.383695e-19
6360.0,3.9123893e-17,6.718397e-19
6380.0,3.8457357e-17,7.5488937e-19
6400.0,3.78732e-17,1.0658098e-18
6420.0,3.7626954e-17,1.5489354e-18
6440.0,3.6764426e-17,1.835863e-18
6460.0,3.5800638e-17,1.8315584e-18
6480.0,3.5281132e-17,1.8155814e-18
6500.0,3.5167137e-17,1.8079482e-18
6520.0,3.5058485e-17,1.7859595e-18
6540.0,3.4760565e-17,1.7690806e-18
6560.0,3.4333495e-17,1.7621577e-18
6580.0,3.404329e-17,1.7349046e-18
6600.0,3.4103366e-17,1.7023353e-18
6620.0,3.4441422e-17,1.6900843e-18
6640.0,3.4776853e-17,1.6632254e-18
6660.0,3.4820972e-17,1.6133264e-18
6680.0,3.4603377e-17,1.5986037e-18
6700.0,3.4308216e-17,1.6023343e-18
6720.0,3.4128284e-17,1.5576026e-18
6740.0,3.4222355e-17,1.5074718e-18
6760.0,3.466175e-17,1.5217374e-18
6780.0,3.504004e-17,1.5219173e-18
6800.0,3.5079158e-17,1.4577338e-18
6820.0,3.4615805e-17,1.4259745e-18
6840.0,3.366848e-17,1.4616493e-18
6860.0,3.256937e-17,1.4473454e-18
6880.0,3.1743314e-17,1.370399e-18
6900.0,3.1441453e-17,1.363183e-18
6920.0,3.1641627e-17,1.4109255e-18
6940.0,3.2256037e-17,1.3773391e-18
6960.0,3.2811284e-17,1.2911497e-18
6980.0,3.3030076e-17,1.307605e-18
7000.0,3.2759995e-17,1.3649585e-18
7020.0,3.221043e-17,1.3157836e-18
7040.0,3.144831e-17,1.22357e-18
7060.0,3.0831175e-17,1.2579259e-18
7080.0,3.0566276e-17,1.3278822e-18
7100.0,3.0555992e-17,1.2697892e-18
7120.0,3.0748203e-17,1.1735729e-18
7140.0,3.0997485e-17,1.2172672e-18
7160.0,3.119277e-17,1.2987589e-18
7180.0,3.1224182e-17,1.245615e-18
7200.0,3.1021374e-17,1.1381629e-18
7220.0,3.0794985e-17,1.1771144e-18
7240.0,3.0427058e-17,1.2679615e-18
7260.0,3.00627e-17,1.224462e-18
7280.0,2.9809078e-17,1.1046931e-18
7300.0,2.954452e-17,1.1157473e-18
7320.0,2.9259873e-17,1.2192947e-18
7340.0,2.9017195e-17,1.2083097e-18
7360.0,2.8873077e-17,1.0836234e-18
7380.0,2.8731794e-17,1.0497653e-18
7400.0,2.863292e-17,1.1592168e-18
7420.0,2.8608184e-17,1.2052845e-18
7440.0,2.857641e-17,1.1026988e-18
7460.0,2.8549166e-17,1.0110876e-18
7480.0,2.8472003e-17,1.0838268e-18
7500.0,2.841711e-17,1.1805549e-18
7520.0,2.825285e-17,1.1352465e-18
7540.0,2.8095292e-17,1.0138729e-18
7560.0,2.7830594e-17,1.0071829e-18
7580.0,2.7593276e-17,1.1157562e-18
7600.0,2.7397875e-17,1.1505143e-18
7620.0,2.7189953e-17,1.0531524e-18
7640.0,2.7057993e-17,9.648363e-19
7660.0,2.7019492e-17,1.0213257e-18
7680.0,2.7030464e-17,1.1161536e-18
7700.0,2.7122147e-17,1.1058548e-18
7720.0,2.7127396e-17,1.00262e-18
7740.0,2.7054171e-17,9.575054e-19
7760.0,2.6932559e-17,1.034049e-18
7780.0,2.6733387e-17,1.1042602e-18
7800.0,2.647323e-17,1.0719595e-18
7820.0,2.6137245e-17,9.818436e-19
7840.0,2.5914829e-17,9.625585e-19
7860.0,2.572331e-17,1.0294156e-18
7880.0,2.5588384e-17,1.0765796e-18
7900.0,2.5526077e-17,1.0441987e-18
7920.0,2.5484134e-17,9.776054e-19
7940.0,2.5472607e-17,9.639058e-19
7960.0,2.5441088e-17,1.0067161e-18
7980.0,2.5317535e-17,1.0328896e-18
8000.0,2.5175937e-17,1.0091113e-18
8020.0,2.495857e-17,9.648144e-19
8040.0,2.4701744e-17,9.506393e-19
8060.0,2.449962e-17,9.70496e-19
8080.0,2.4281807e-17,9.83189e-19
8100.0,2.4081342e-17,9.720741e-19
8120.0,2.392668e-17,9.558401e-19
8140.0,2.3725069e-17,9.501532e-19
8160.0,2.3671054e-17,9.560948e-19
8180.0,2.3571575e-17,9.5003e-19
8200.0,2.3528807e-17,9.400471e-19
8220.0,2.3437532e-17,9.409371e-19
8240.0,2.3357941e-17,9.574872e-19
8260.0,2.3331676e-17,9.686896e-19
8280.0,2.3283242e-17,9.539422e-19
8300.0,2.3200679e-17,9.269937e-19
8320.0,2.3109985e-17,9.229331e-19
8340.0,2.2946075e-17,9.490189e-19
8360.0,2.2779682e-17,9.767718e-19
8380.0,2.2666036e-17,9.744175e-19
8400.0,2.2458008e-17,9.377492e-19
8420.0,2.2283081e-17,9.123614e-19
8440.0,2.2004798e-17,9.274353e-19
8460.0,2.191008e-17,9.768976e-19
8480.0,2.1825963e-17,1.0037675e-18
8500.0,2.177099e-17,9.829406e-19
8520.0,2.165339e-17,9.340637e-19
8540.0,2.1588957e-17,9.172195e-19
8560.0,2.151743e-17,9.559664e-19
8580.0,2.1471703e-17,1.014795e-18
8600.0,2.1360143e-17,1.0352849e-18
8620.0,2.1215325e-17,1.0013707e-18
8640.0,2.1110615e-17,9.497568e-19
8660.0,2.1015514e-17,9.369756e-19
8680.0,2.106759e-17,9.896228e-19
8700.0,2.0905326e-17,1.0462606e-18
8720.0,2.0957446e-17,1.0717743e-18
8740.0,2.093513e-17,1.0361763e-18
8760.0,2.0969598e-17,9.808278e-19
8780.0,2.1004715e-17,9.626074e-19
8800.0,2.1132097e-17,1.0111068e-18
8820.0,2.1090667e-17,1.075411e-18
8840.0,2.0989976e-17,1.1049954e-18
8860.0,2.0806815e-17,1.0770975e-18
8880.0,2.0612007e-17,1.0208807e-18
8900.0,2.0426289e-17,9.91845e-19
8920.0,2.019061e-17,1.0206329e-18
8940.0,1.9951886e-17,1.0824633e-18
8960.0,1.9834775e-17,1.1284516e-18
8980.0,1.9670845e-17,1.1167629e-18
9000.0,1.960156e-17,1.067009e-18
9020.0,1.9573585e-17,1.0248317e-18
9040.0,1.9507713e-17,1.0343605e-18
9060.0,1.9444212e-17,1.094837e-18
9080.0,1.9495312e-17,1.1633551e-18
9100.0,1.9409542e-17,1.1795919e-18
9120.0,1.9340952e-17,1.1433213e-18
9140.0,1.930451e-17,1.0876553e-18
9160.0,1.9276207e-17,1.0663083e-18
9180.0,1.9102654e-17,1.1014795e-18
9200.0,1.9030885e-17,1.1789557e-18
9220.0,1.909723e-17,1.2463247e-18
9240.0,1.8976643e-17,1.2462234e-18
9260.0,1.8866086e-17,1.19534e-18
9280.0,1.8887357e-17,1.1442948e-18
9300.0,1.8759184e-17,1.1330257e-18
9320.0,1.8581327e-17,1.1888905e-18
9340.0,1.8435882e-17,1.2795794e-18
9360.0,1.8243708e-17,1.3429637e-18
9380.0,1.804832e-17,1.3480796e-18
9400.0,1.7744708e-17,1.2929881e-18
9420.0,1.745031e-17,1.2310989e-18
9440.0,1.738886e-17,1.2364804e-18
9460.0,1.7111894e-17,1.2985444e-18
9480.0,1.6963742e-17,1.401071e-18
9500.0,1.7067183e-17,1.4934522e-18
9520.0,1.6988485e-17,1.4989849e-18
9540.0,1.7061654e-17,1.4494477e-18
9560.0,1.7297094e-17,1.3912083e-18
9580.0,1.7409326e-17,1.371273e-18
9600.0,1.7550703e-17,1.4446239e-18
9620.0,1.7652114e-17,1.5784039e-18
9640.0,1.7739214e-17,1.707621e-18
9660.0,1.756458e-17,1.7527885e-18
9680.0,1.7446357e-17,1.7286516e-18
9700.0,1.731426e-17,1.6590262e-18
9720.0,1.6879497e-17,1.5886327e-18
9740.0,1.6696118e-17,1.6432416e-18
9760.0,1.6400555e-17,1.7936717e-18
9780.0,1.5988228e-17,1.9628206e-18
9800.0,1.5978286e-17,2.1262516e-18
9820.0,1.570538e-17,2.1446893e-18
9840.0,1.5746753e-17,2.092957e-18
9860.0,1.5832639e-17,1.993564e-18
9880.0,1.5844173e-17,1.9422002e-18
9900.0,1.625017e-17,2.0927496e-18
9920.0,1.6353093e-17,2.3500174e-18
9940.0,1.6691752e-17,2.6898257e-18
9960.0,1.6955067e-17,2.9646976e-18
9980.0,1.6964998e-17,3.0740567e-18
10000.0,1.7028242e-17,3.0651858e-18
10020.0,1.6879792e-17,2.9647865e-18
10040.0,1.6497631e-17,2.9393751e-18
10060.0,1.6214507e-17,3.2441112e-18
10080.0,1.5549397e-17,3.8234976e-18
10100.0,1.5016557e-17,4.628631e-18
10120.0,1.4538234e-17,5.434783e-18
10140.0,1.3849054e-17,5.930432e-18
10160.0,1.3648194e-17,6.267654e-18
10180.0,1.3191101e-17,6.112013e-18
10200.0,1.3319738e-17,6.0662022e-18
